  kategorie   |       art        |     gruppierung     |               sparte               |                                 form_name                                 
 Verträge     | Hausverwaltung   | Hausverwaltung      | Hausverwaltung                     | contract-propertymanagement-propertymanagement-propertymanagementcontract
 Verträge     | Kaufvertrag      | Gegenstände         | Couch                              | contract-sale-sale-salecontract
 Verträge     | Kaufvertrag      | Gegenstände         | Tisch                              | contract-sale-sale-salecontract
 Verträge     | Kaufvertrag      | Geräte              | Fernseher                          | contract-sale-sale-salecontract
 Verträge     | Kaufvertrag      | Geräte              | Handy                              | contract-sale-sale-salecontract
 Verträge     | Kaufvertrag      | Immobilie           | Grunderwerbssteuer                 | contract-sale-sale-salecontract
 Verträge     | Kaufvertrag      | Immobilie           | Haus                               | contract-sale-sale-salecontract
 Verträge     | Kaufvertrag      | Immobilie           | Wohnung                            | contract-sale-sale-salecontract
 Verträge     | Kaufvertrag      | KFZ                 | Auto                               | contract-insurance-automobile-automobilecontract
 Verträge     | Kaufvertrag      | KFZ                 | Motorrad                           | contract-sale-sale-salecontract
 Verträge     | Kredit           | KFZ                 | Auto                               | contract-insurance-automobile-automobilecontract
 Verträge     | Kredit           | KFZ                 | Motorboot                          | contract-loan-loan-loanagreementcontract
 Verträge     | Kredit           | KFZ                 | Wohnwagen                          | contract-loan-loan-loanagreementcontract
 Verträge     | Kredit           | Kredit              | freie Verwendung                   | contract-loan-loan-loanagreementcontract
 Verträge     | Kredit           | Kredit              | Modernisierung                     | contract-loan-loan-loanagreementcontract
 Verträge     | Kredit           | Kredit              | Umschuldung                        | contract-loan-loan-loanagreementcontract
 Verträge     | Kreditkarte      | Debitkarte          | Debitkarte                         | contract-creditcard-credit-creditcard
 Verträge     | Kreditkarte      | Kreditkarte         | Kreditkarte                        | contract-creditcard-credit-creditcardcontract
 Verträge     | Leasing          | KFZ                 | Auto                               | contract-insurance-automobile-automobilecontract
 Verträge     | Medien           | Fernsehen           | Kabelfernsehen                     | contract-media-streaming-streamingcontract
 Verträge     | Medien           | Fernsehen           | Satellitenfernsehen                | contract-media-streaming-streamingcontract
 Verträge     | Medien           | Internet            | DSL                                | contract-media-streaming-streamingcontract
 Verträge     | Medien           | Internet            | Glasfaser                          | contract-media-streaming-streamingcontract
 Verträge     | Medien           | Mobilfunk           | Autotelefon                        | contract-media-streaming-streamingcontract
 Verträge     | Medien           | Mobilfunk           | Handy                              | contract-media-streaming-streamingcontract
 Verträge     | Medien           | Mobilfunk           | Tablet                             | contract-media-streaming-streamingcontract
 Verträge     | Medien           | Streaming           | Filme / Serien                     | contract-media-streaming-streamingcontract
 Verträge     | Medien           | Streaming           | Musik                              | contract-media-streaming-streamingcontract
