Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Verträge","Mietvertrag","Immobilie","Gebäude","contract","rental-contract","realestate","building","contract-lease-lease-leasecontract","contract-rental-contract-realestate-building"
"Verträge","Mietvertrag","Immobilie","Raum","contract","rental-contract","realestate","room","contract-lease-lease-leasecontract","contract-rental-contract-realestate-room"
"Verträge","Mietvertrag","KFZ","Auto","contract","rental-contract","car","car","contract-lease-lease-leasecontract","contract-rental-contract-car-car"
"Verträge","Mietvertrag","KFZ","Wohnmobil","contract","rental-contract","car","camper","contract-lease-lease-leasecontract","contract-rental-contract-car-camper"
"Verträge","Mietvertrag","Wohnen","Hausmietvertrag","contract","rental-contract","reside","house-lease","contract-lease-lease-leasecontract","contract-rental-contract-reside-house-lease"
"Verträge","Mietvertrag","Wohnen","Wohnungsmietvertrag","contract","rental-contract","reside","apartment-rental-agreement","contract-lease-lease-leasecontract","contract-rental-contract-reside-apartment-rental-agreement"
"Verträge","Versicherung","Gewerbe","D&O Managerhaftpflicht","contract","insurance","business","manager-liability","contract-insurance-domanager-domanagercontract","contract-insurance-business-manager-liability"
"Verträge","Versicherung","Gewerbe","Gebäude","contract","insurance","business","building","contract-insurance-residential-residentialcontract","contract-insurance-business-building"
"Verträge","Versicherung","Gewerbe","Rechtsschutz","contract","insurance","business","legal-protection","contract-insurance-legalprotection-legalprotectioncontract","contract-insurance-business-legal-protection"
"Verträge","Versicherung","KFZ","Motorrad","contract","insurance","car","motorcycle","contract-insurance-automobile-automobilecontract","contract-insurance-car-motorcycle"
"Verträge","Versicherung","KFZ","Traktor","contract","insurance","car","tractor","contract-insurance-automobile-automobilecontract","contract-insurance-car-tractor"
"Verträge","Versicherung","KFZ","Wohnmobil","contract","insurance","car","camper","contract-insurance-automobile-automobilecontract","contract-insurance-car-camper"
"Verträge","Versicherung","KFZ","Wohnwagen","contract","insurance","car","caravan","contract-insurance-automobile-automobilecontract","contract-insurance-car-caravan"
"Verträge","Versicherung","Kranken","Ausland","contract","insurance","health","abroad","contract-insurance-inthealth-inthealthcontract","contract-insurance-health-abroad"
"Verträge","Versicherung","Kranken","Auslandsreise","contract","insurance","health","foreign-travel","contract-insurance-travel-travelcontract","contract-insurance-health-foreign-travel"
"Verträge","Versicherung","Kranken","gesetzliche Krankenversicherung","contract","insurance","health","statutory-health-insurance","contract-insurance-health-healthcontract","contract-insurance-health-statutory-health-insurance"
"Verträge","Versicherung","Kranken","Krankenhaustagegeld","contract","insurance","health","hospital-per-diem","contract-insurance-dailyhospital-dailyhospitalcontract","contract-insurance-health-hospital-per-diem"
"Verträge","Versicherung","Kranken","Krankentagegeld","contract","insurance","health","sick-pay","contract-insurance-dailysickness-dailysicknesscontract","contract-insurance-health-sick-pay"
"Verträge","Versicherung","Kranken","Privat Kranken voll","contract","insurance","health","additional-insurance-full","contract-insurance-health-prisickfullcontract","contract-insurance-health-additional-insurance-full"
"Verträge","Versicherung","Kranken","Privat Zusatz ambulant","contract","insurance","health","additional-insurance-outpatient","contract-insurance-priaddout-priaddoutcontract","contract-insurance-health-additional-insurance-outpatient"
"Verträge","Versicherung","Kranken","Privat Zusatz stationär","contract","insurance","health","additional-insurance-stationary","contract-insurance-priaddstat-priaddstatcontract","contract-insurance-health-additional-insurance-stationary"
"Verträge","Versicherung","Kranken","Privat Zusatz Zahn","contract","insurance","health","additional-insurance-teeth","contract-insurance-health-prisickfullcontract","contract-insurance-health-additional-insurance-teeth"
"Verträge","Versicherung","Leben","Berufsunfähigkeit","contract","insurance","life","disability-insurance","contract-insurance-disability-disabilitycontract","contract-insurance-life-disability-insurance"
"Verträge","Versicherung","Leben","Pflegetagegeld","contract","insurance","life","daily-care-allowance","contract-insurance-longtermcaredaily-longtermcaredailycontract","contract-insurance-life-daily-care-allowance"
"Verträge","Versicherung","Leben","Pflegeversicherung","contract","insurance","life","care-insurance","contract-insurance-longtermcare-longtermcarecontract","contract-insurance-life-care-insurance"
"Verträge","Versicherung","Leben","Rentenversicherung Fonds","contract","insurance","life","pension-insurance-fund","contract-insurance-pensionfund-pensionfundcontract","contract-insurance-life-pension-insurance-fund"
"Verträge","Versicherung","Leben","Rentenversicherung klassisch","contract","insurance","life","pension-insurance","contract-insurance-classicpension-classicpensioncontract","contract-insurance-life-pension-insurance"
"Verträge","Versicherung","Leben","Risiko Lebensversicherung","contract","insurance","life","risk-life-insurance","contract-insurance-risklife-risklifecontract","contract-insurance-life-risk-life-insurance"
"Verträge","Versicherung","Sach","Bauherrenhaftpflicht","contract","insurance","object","builders-liability","contract-insurance-builderliability-builderliabilitycontract","contract-insurance-object-builders-liability"
"Verträge","Versicherung","Sach","E-Bike & Pedeleg","contract","insurance","object","ebike","contract-insurance-bike-bikecontract","contract-insurance-object-ebike"
"Verträge","Versicherung","Sach","Elementar (Wohngebäude)","contract","insurance","object","elementary","contract-insurance-fire-firecontract","contract-insurance-object-elementary"
"Verträge","Versicherung","Sach","Feuer","contract","insurance","object","fire","insurance-fire","contract-insurance-object-fire"
"Verträge","Versicherung","Sach","Glas","contract","insurance","object","glas","contract-insurance-fire-firecontract","contract-insurance-object-glas"
"Verträge","Versicherung","Sach","Hausrat","contract","insurance","object","household-goods","contract-insurance-furniture-furniturecontract","contract-insurance-object-household-goods"
"Verträge","Versicherung","Sach","Haus- und Grundbesitzerhaftpflicht","contract","insurance","object","homeowner-liability","contract-insurance-liability-liabilitycontract","contract-insurance-object-homeowner-liability"
"Verträge","Versicherung","Sach","Kunst","contract","insurance","object","art","contract-insurance-fire-firecontract","contract-insurance-object-art"
"Verträge","Versicherung","Sach","Mietausfall","contract","insurance","object","loss-of-rent","contract-insurance-rental-rentalcontract","contract-insurance-object-loss-of-rent"
"Verträge","Versicherung","Sach","Photovoltaik","contract","insurance","object","photovoltaic","contract-insurance-photovoltaic-photovoltaiccontract","contract-insurance-object-photovoltaic"
"Verträge","Versicherung","Sach","Privathaftpflicht","contract","insurance","object","personal-liability","contract-insurance-liability-liabilitycontract","contract-insurance-object-personal-liability"
"Verträge","Versicherung","Sach","Rechtsschutz","contract","insurance","object","legal-protection","contract-insurance-legalprotection-legalprotectioncontract","contract-insurance-object-legal-protection"
"Verträge","Versicherung","Sach","Tierhalterhaftpflicht","contract","insurance","object","animal-owner-liability","contract-insurance-liabilitypet-liabilitypetcontract","contract-insurance-object-animal-owner-liability"
"Verträge","Versicherung","Sach","Tier OP","contract","insurance","object","animal-surgery","contract-insurance-pet-petcontract","contract-insurance-object-animal-surgery"
"Verträge","Versicherung","Sach","Umweltschadenhaftpflicht","contract","insurance","object","environmental-damage","contract-insurance-environmentaldamage-environmentaldamagecontract","contract-insurance-object-environmental-damage"
"Verträge","Versicherung","Sach","Unfall","contract","insurance","object","accident","contract-insurance-accident-accidentcontract","contract-insurance-object-accident"
"Verträge","Versicherung","Sach","Wohngebäude","contract","insurance","object","residential-building","contract-insurance-residential-residentialcontract","contract-insurance-object-residential-building"
"Verträge","Hausverwaltung","Hausverwaltung","-","contract","property-management","property-management","-","-","contract-property-management-property-management-unknown"
"Verträge","Mietverwaltung","Mietverwaltung","-","contract","rental-management","rental-management","-","-","contract-rental-management-rental-management-unknown"
