Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Verträge","Kaufvertrag","Immobilie","Haus","contract","purchase_contract","realestate","house","contract-sale-sale-salecontract","contract-purchase_contract-realestate-house"
"Verträge","Dienstleistung","Service","Hausmeisterservice","contract","service","service","caretaker_service","contract-service-caretaker-caretakerservicecontract","contract-service-service-caretaker_service"
"Verträge","Mietvertrag","Wohnen","Hausmietvertrag","contract","rental_contract","reside","house_lease","contract-lease-lease-leasecontract","contract-rental_contract-reside-house_lease"
"Verträge","Versicherung","Sach","Hausrat","contract","insurance","object","household_goods","contract-insurance-furniture-furniturecontract","contract-insurance-object-household_goods"
"Verträge","Versicherung","Sach","Haus- und Grundbesitzerhaftpflicht","contract","insurance","object","homeowner_liability","contract-insurance-liability-liabilitycontract","contract-insurance-object-homeowner_liability"
"Verträge","Dienstleistung","Service","Hausverwaltung","contract","service","service","property_management","property-management","contract-service-service-property_management"
"Verträge","Dienstleistung","Wartung","Heizung","contract","service","maintenance","heating","contract-service-maintenance-maintenancecontract","contract-service-maintenance-heating"
"Verträge","Dienstleistung","Service","Immobilienmakler","contract","service","service","real_estate_agent","contract-service-broker-realestateagent","contract-service-service-real_estate_agent"
"Mobilität","Boot","Motorbetrieben","Jollenkreuzer","mobility","boat","motorized","motorboat","motorboat","mobility-boat-motorized-motorboat"
"Verträge","Medien","Fernsehen","Kabelfernsehen","contract","media","television","cable_tv","contract-media-media-mediacontract","contract-media-television-cable_tv"
"Verträge","Dienstleistung","Service","KFZ-Inspektion","contract","service","service","car_inspection","contract-mobility-car-inspection","contract-service-service-car_inspection"
"Mobilität","Personenfahrzeug","Quad","Kinder","mobility","passenger_vehicle","quad","quad_children","quad","mobility-passenger_vehicle-quad-quad_children"
"Finanzkonten","Systeme","Bezahlsysteme","Klarna","financeaccount","systems","payment_systems","klarna","contract-creditcard-credit-creditcard","financeaccount-systems-payment_systems-klarna"
"Mobilität","Personenfahrzeug","Auto","Kleinbus","mobility","passenger_vehicle","car","minibus","car","mobility-passenger_vehicle-car-minibus"
"Mobilität","Personenfahrzeug","Auto","Kleintransporter","mobility","passenger_vehicle","car","small_transporter","car","mobility-passenger_vehicle-car-small_transporter"
"Mobilität","Personenfahrzeug","Auto","Kleinwagen","mobility","passenger_vehicle","car","small_car","car","mobility-passenger_vehicle-car-small_car"
"Mobilität","Personenfahrzeug","Auto","Kombi","mobility","passenger_vehicle","car","station_wagon","car","mobility-passenger_vehicle-car-station_wagon"
"Kontakte","Kontakte","Kontakt","Kontaktgruppe","contact","contact","contact","contact_group","contact-group","contact-contact-contact-contact_group"
"Verträge","Versicherung","Kranken","Krankenhaustagegeld","contract","insurance","health","hospital_per_diem","contract-insurance-dailyhospital-dailyhospitalcontract","contract-insurance-health-hospital_per_diem"
"Verträge","Versicherung","Kranken","Krankentagegeld","contract","insurance","health","sick_pay","contract-insurance-dailysickness-dailysicknesscontract","contract-insurance-health-sick_pay"
"Verträge","Versicherung","Sach","Kunst","contract","insurance","object","art","contract-insurance-fire-firecontract","contract-insurance-object-art"
"Mobilität","Fahrrad","Bike","Lasten","mobility","bike","bike","cargo","bicycle","mobility-bike-bike-cargo"
"Mobilität","Fahrrad","Pedelec","Lasten","mobility","bike","pedelec","p_cargo","pedelec","mobility-bike-pedelec-p_cargo"
"Mobilität","Fahrrad","E-Bike","Lasten","mobility","bike","e_bike","e_cargo","ebike","mobility-bike-e_bike-e_cargo"
"Verträge","Darlehen","Immobilie","Laufzeitzinsdarlehen","contract","loan","realestate","term_loan","contract-loan-credit-creditcontract","contract-loan-realestate-term_loan"
