id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name
157;Stripe;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.stripe;43;financeaccount;;stripe
158;Klarna;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.klarna;43;financeaccount;;klarna
159;Einzelkontakt;2023-06-13 00:00:00;jaynaApp.contact.group-type.single-contact;44;contact;;single-contact
160;A;2023-06-13 00:00:00;jaynaApp.mobility.group-type.a;45;mobility;;trailer
161;B;2023-06-13 00:00:00;jaynaApp.mobility.group-type.b;45;mobility;;trailer
162;C;2023-06-13 00:00:00;jaynaApp.mobility.group-type.c;45;mobility;;trailer
163;Cabrio;2023-06-13 00:00:00;jaynaApp.mobility.group-type.convertible;46;mobility;;car
164;Coupé;2023-06-13 00:00:00;jaynaApp.mobility.group-type.coupe;46;mobility;;car
165;CUV;2023-06-13 00:00:00;jaynaApp.mobility.group-type.cuv;46;mobility;;car
166;Geländewagen;2023-06-13 00:00:00;jaynaApp.mobility.group-type.off-road-vehicle;46;mobility;;car
167;Kleinbus;2023-06-13 00:00:00;jaynaApp.mobility.group-type.minibus;46;mobility;;car
168;Kleintransporter;2023-06-13 00:00:00;jaynaApp.mobility.group-type.small-transporter;46;mobility;;car
169;Kleinwagen;2023-06-13 00:00:00;jaynaApp.mobility.group-type.small-car;46;mobility;;car
170;Kombi;2023-06-13 00:00:00;jaynaApp.mobility.group-type.station-wagon;46;mobility;;car
171;Limousine;2023-06-13 00:00:00;jaynaApp.mobility.group-type.limousine;46;mobility;;car
172;Minivan;2023-06-13 00:00:00;jaynaApp.mobility.group-type.minivan;46;mobility;;car
173;Pickup;2023-06-13 00:00:00;jaynaApp.mobility.group-type.pickup;46;mobility;;car
174;Roadstar;2023-06-13 00:00:00;jaynaApp.mobility.group-type.roadstar;46;mobility;;car
175;SUV;2023-06-13 00:00:00;jaynaApp.mobility.group-type.suv;46;mobility;;car
176;Transporter;2023-06-13 00:00:00;jaynaApp.mobility.group-type.transporter;46;mobility;;car
177;Van;2023-06-13 00:00:00;jaynaApp.mobility.group-type.van;46;mobility;;car
178;City;2023-06-13 00:00:00;jaynaApp.mobility.group-type.city;47;mobility;;bicycle
179;Cross;2023-06-13 00:00:00;jaynaApp.mobility.group-type.cross;47;mobility;;bicycle
180;Dreirad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.tricycle;47;mobility;;bicycle
181;Falt;2023-06-13 00:00:00;jaynaApp.mobility.group-type.folding-bike;47;mobility;;bicycle
182;Gravel;2023-06-13 00:00:00;jaynaApp.mobility.group-type.gravel;47;mobility;;bicycle
183;Lasten;2023-06-13 00:00:00;jaynaApp.mobility.group-type.cargo;47;mobility;;bicycle
184;Lifestyle;2023-06-13 00:00:00;jaynaApp.mobility.group-type.lifestyle;47;mobility;;bicycle
185;Mountainbike;2023-06-13 00:00:00;jaynaApp.mobility.group-type.mtb;47;mobility;;bicycle
186;Rennrad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.racing-bike;47;mobility;;bicycle
187;Speed;2023-06-13 00:00:00;jaynaApp.mobility.group-type.speed-bike;47;mobility;;bicycle
188;SUV;2023-06-13 00:00:00;jaynaApp.mobility.group-type.suv;47;mobility;;bicycle
189;Trekking;2023-06-13 00:00:00;jaynaApp.mobility.group-type.trekking-bike;47;mobility;;bicycle
